 spiroplasma 	 dactylopius 	 flavobacterial 	 fungal 	 flavobacteria 	 symbiotic 	 nitrogen 	 cochineal 	 coccus 	 drosophila 	 arthropod 	 reproductive 	 acid 	 association 	 embryo
 norspermidine 	 velezensis 	 etli 	 flagellar 	 system 	 synthesis 	 proteins 	 tdc 	 formation 	 epidermidis 	 planktonic 	 polyamine 	 sphaeroide 	 rhizobia 	 tca
 system 	 transcription 	 factor 	 regulate 	 module 	 global 	 bacterium 	 datum 	 interaction 	 number 	 transcriptional 	 organism 	 trn 	 regulation 	 circuit
 plasmid 	 psz 	 aeromonas 	 caviae 	 fitness 	 lineage 	 cell 	 effect 	 innovation 	 kb 	 multicopy 	 amplification 	 ik 	 etli 	 pantothenate
 root 	 cdigmp 	 alginate 	 biofilm 	 motility 	 cereal 	 ases 	 sa 	 growth 	 exl 	 microrna 	 lumichrome 	 interaction 	 determinate 	 rice
 grh 	 cox 	 cytochrome 	 oxidase 	 nodule 	 odc 	 cbb 	 cfn 	 ce 	 form 	 synthase 	 aa 	 acid 	 etli 	 mutation
 model 	 acid 	 bacterium 	 isolate 	 human 	 bacterial 	 fatty 	 growth 	 study 	 wolbachia 	 .*soil 	 .*sp 	 .*complex 	 .*disease 	 .*datum
 model 	 acid 	 bacterium 	 isolate 	 human 	 bacterial 	 fatty 	 growth 	 study 	 wolbachia 	 .*soil 	 .*sp 	 .*complex 	 .*disease 	 .*datum
 mir 	 cu 	 nodule 	 rhizobia 	 soybean 	 bean 	 seed 	 genotype 	 expression 	 common 	 ap 	 maize 	 root 	 vulgaris 	 isolate
 model 	 acid 	 bacterium 	 isolate 	 human 	 bacterial 	 fatty 	 growth 	 study 	 wolbachia 	 .*soil 	 .*sp 	 .*complex 	 .*disease 	 .*datum
 acp 	 meliloti 	 argc 	 acid 	 spi 	 protein 	 proteins 	 expression 	 biosynthesis 	 cell 	 smb 	 mass 	 mitochondrium 	 venom 	 identify
 domain 	 manual 	 curation 	 amendment 	 original 	 property 	 access 	 paper 	 datum 	 source 	 via 	 summary 	 natural 	 language 	 tf
 domain 	 manual 	 curation 	 amendment 	 original 	 property 	 access 	 paper 	 datum 	 source 	 via 	 summary 	 natural 	 language 	 tf
 model 	 acid 	 bacterium 	 isolate 	 human 	 bacterial 	 fatty 	 growth 	 study 	 wolbachia 	 .*soil 	 .*sp 	 .*complex 	 .*disease 	 .*datum
